geo,start_year,end_year,pop_start_0_29,pop_end_30_59,deaths,migration,migration_pct
FI,1993,2023,1979022,2117133,61046,199157,10.063405055628486
EL,1988,2018,4262003,4552943,140082,431022,10.11313225260517
IT,1985,2015,24223182,26032868,645658,2455344,10.136339643569537
SE,1977,2007,3422681,3668351,103450,349120,10.200191019846724
IS,1988,2018,126951,137132,2941,13122,10.336271474820993
CZ,1995,2025,4338853,4650498,139267,450912,10.392423988551814
EL,1987,2017,4284663,4590625,141785,447747,10.449993383376942
NL,1990,2020,6377243,6888425,160770,671952,10.536716258107147
IT,1986,2016,24005742,25900979,636021,2531258,10.544385589081145
SI,1994,2024,822560,885157,24598,87195,10.60044252091033
DK,1987,2017,2084857,2237384,68723,221250,10.612238633153256
ES,1976,2006,17906851,19180300,631151,1904600,10.636152609970342
SE,1978,2008,3399479,3661072,99988,361581,10.636365160661382
AT,1976,2006,3377944,3602180,135201,359437,10.640703339072525
BE,1982,2012,4285959,4582851,162621,459513,10.721357810469021
EL,1986,2016,4302293,4624242,143279,465228,10.813489457830975
CH,1964,1994,2751057,2942468,108086,299497,10.886615580847653
NL,1991,2021,6358782,6896325,156937,694480,10.921588442566517
IT,1987,2017,23753021,25739536,625527,2612042,10.996672802166934
CH,1965,1995,2791781,2991056,108790,308065,11.03471224999382
AT,1977,2007,3373451,3617020,132914,376483,11.160173958358962
DK,1988,2018,2071025,2238633,66345,233953,11.296483625258025
SE,1979,2009,3368424,3654373,96650,382599,11.35839787390186
NL,1992,2022,6333862,6901514,153641,721293,11.38788625328433
IT,1988,2018,23493510,25562361,613726,2682577,11.418374691563756
CH,1969,1999,2909299,3130969,111536,333206,11.453136992794484
FI,1994,2024,1971209,2137628,59459,225878,11.458855960986378
CH,1968,1998,2878685,3099629,111185,332129,11.537524946286238
AT,1978,2008,3352036,3610000,129082,387046,11.54659436831824
SI,1995,2025,810994,881027,23673,93706,11.554462795039175
CH,1970,2000,2929439,3163579,111451,345591,11.797173451981761
BE,1983,2013,4249547,4592230,159671,502354,11.821354134923087
CH,1966,1996,2811604,3035265,109775,333436,11.85928032539433
CH,1967,1997,2841157,3069113,110375,338331,11.908212041784386
IT,1989,2019,23252431,25420935,601872,2770376,11.914349944743412
CH,1963,1993,2678927,2891558,107564,320195,11.95236003071379
IT,1991,2021,22686045,24852109,574583,2740647,12.080761543054331
SE,1980,2010,3345887,3659263,94044,407420,12.176741175060604
DK,1989,2019,2055438,2241584,64411,250557,12.189956593193276
IS,1989,2019,128399,141174,2924,15699,12.22673073777833
IT,1990,2020,22971699,25206056,587149,2821506,12.28253077841565
EL,1985,2015,4279900,4665881,144807,530788,12.401878548564218
AT,1979,2009,3320369,3607477,125320,412428,12.421149577050022
ES,1977,2007,18080475,19736628,632973,2289126,12.660762507622172
DK,1990,2020,2045277,2243300,62160,260183,12.721161974637177
FI,1995,2025,1961066,2153832,57790,250556,12.776520525061368
NL,1993,2023,6301260,6955983,150547,805270,12.779507590545384
BE,1984,2014,4208868,4591207,156794,539133,12.809453753360762
NO,1981,2011,1828985,2008195,56011,235221,12.86073969988819
SE,1981,2011,3327875,3666676,91478,430279,12.929542125230064
AT,1980,2010,3300330,3606733,122704,429107,13.001942230019422
DK,1991,2021,2037481,2246669,60010,269198,13.212294985818273
AT,1981,2011,3295932,3616962,120463,441493,13.39508824817988
CH,1971,2001,2910986,3191457,111382,391853,13.461177759013612
AT,1982,2012,3310070,3638262,118629,446821,13.498838393145766
IT,1992,2022,22186633,24644847,560037,3018251,13.603916376135125
NL,1994,2024,6264078,6975061,146615,857598,13.690729904704252
BE,1985,2015,4172886,4592225,153543,572882,13.728676029012055
DK,1992,2022,2032139,2255870,58063,281794,13.866866390537261
SE,1982,2012,3307050,3678122,89438,460510,13.925099408838692
CH,1962,1992,2589644,2847058,107008,364422,14.07228174992393
DE,1993,2023,30377707,33753735,901626,4277654,14.081556583582822
IT,1993,2023,21886271,24480393,543719,3137841,14.337028907299922
NO,1982,2012,1824176,2030357,55692,261873,14.355687170536177
DE,1992,2022,30469972,33957410,933749,4421187,14.509980514586623
CH,1972,2002,2915589,3228053,110738,423202,14.515145996229235
DE,1994,2024,30023985,33516837,866691,4359543,14.520201099221172
NL,1995,2025,6207278,6979674,143011,915407,14.747317584293793
AT,1983,2013,3291659,3660703,116791,485835,14.759578680537686
BE,1986,2016,4131232,4595466,150302,614536,14.875368897220007
DE,1991,2021,30624435,34247254,966598,4589417,14.986127907339352
IT,1994,2024,21536692,24251650,526906,3241864,15.052748119349063
ES,1978,2008,18210704,20321010,633670,2743976,15.067929279395239
SE,1983,2013,3283315,3691344,87576,495605,15.094652812782202
CH,1973,2003,2924448,3257964,109703,443219,15.155646467299128
DE,1995,2025,29515933,33160090,831197,4475354,15.162502232268924
DK,1993,2023,2028489,2280675,56328,308514,15.209054621444828
IS,1990,2020,127761,144429,2916,19584,15.328621410289525
BE,1987,2017,4092260,4589371,146685,643796,15.732040486186117
IT,1995,2025,21115853,23946588,506754,3337489,15.805608231881516
DK,1994,2024,2019774,2287130,54235,321591,15.922127921242673
AT,1984,2014,3279441,3687941,114929,523429,15.96092138873668
CH,1974,2004,2917748,3275916,108495,466663,15.99394464497962
BE,1988,2018,4074625,4588017,142790,656182,16.10410773997607
CH,1960,1990,2450800,2745654,106338,401192,16.369838420107722
SE,1984,2014,3259199,3707839,85815,534455,16.398354319573613
DK,1995,2025,2011474,2294094,52205,334825,16.645753313241933
BE,1989,2019,4052997,4591722,138725,677450,16.714791548081582
CH,1961,1991,2485848,2795266,106355,415773,16.72560027805401
ES,1979,2009,18277540,20716399,629776,3068635,16.789102909910195
CH,1975,2005,2896036,3290296,106679,500939,17.29740238035715
AT,1985,2015,3267953,3721026,113017,566090,17.32246455196877
IS,1991,2021,127314,146590,2902,22178,17.41992239659425
SE,1985,2015,3246593,3735956,84394,573757,17.67258784824584
ES,1980,2010,18346907,20976526,627513,3257132,17.753030524436625
BE,1990,2020,4019013,4598505,134565,714057,17.766974130215555
BE,1991,2021,3996215,4604116,131323,739224,18.498103830749844
ES,1981,2011,18410144,21208414,626495,3424765,18.6025975679495
SE,1986,2016,3238798,3766667,82718,610587,18.852271737848426
AT,1986,2016,3252184,3757063,111053,615932,18.93902682013072
ES,1984,2014,18380760,21257361,613661,3490262,18.988670762253573
ES,1985,2015,18322887,21204931,607124,3489168,19.042675971313912
IS,1992,2022,128355,150009,2900,24554,19.129757313700285
ES,1982,2012,18453777,21376856,624778,3547857,19.225641449986092
ES,1983,2013,18430222,21364750,620014,3554542,19.2864849918791
BE,1992,2022,3971179,4609607,128113,766541,19.30260509536337
ES,1986,2016,18227458,21153023,598191,3523756,19.332130678891154
ES,1987,2017,18100615,21106119,587686,3593190,19.851203950804987
